TILEMAP
50 50							-- Size of tile map in tiles
32 32							-- Tile size & block size
images/spritesheet_tiles.png				-- Tilesheet
8 16								-- Number of tiles in tilesheet
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,94,-1,-1,-1,94,-1,94,94,94,94,-1,94,-1,-1,94,-1,94,94,94,-1,-1,94,94,94,-1,94,94,94,-1,-1,94,94,94,94,-1,94,-1,-1,94,-1,94,94,94,-1,-1,-1,-1
-1,-1,-1,94,-1,94,-1,94,-1,94,-1,-1,94,-1,94,94,-1,94,-1,94,-1,-1,94,-1,94,-1,-1,-1,94,-1,94,94,-1,94,-1,-1,94,-1,94,94,-1,94,-1,94,-1,-1,94,-1,-1,-1
-1,-1,-1,94,-1,94,-1,94,-1,94,-1,-1,94,-1,94,-1,94,94,-1,94,-1,-1,94,-1,94,94,94,-1,94,-1,-1,94,-1,94,94,94,94,-1,94,-1,94,94,-1,94,-1,-1,94,-1,-1,-1
-1,-1,-1,94,-1,94,-1,94,-1,94,-1,-1,94,-1,94,-1,-1,94,-1,94,-1,-1,94,-1,94,-1,-1,-1,94,94,94,-1,-1,94,-1,-1,94,-1,94,-1,-1,94,-1,94,-1,-1,94,-1,-1,-1
-1,-1,-1,94,94,94,94,94,-1,94,94,94,94,-1,94,-1,-1,94,-1,94,94,94,-1,-1,94,94,94,-1,94,-1,-1,94,-1,94,-1,-1,94,-1,94,-1,-1,94,-1,94,94,94,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
94,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,5,5,94
